,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
Lap3,1128.0185841378566,9.389871126528138,1.6029680495302896,5.857803048089205,4.690304157584127e-09,3.144379907244399e-05,Lap3
Manbal,959.985820127655,10.736306562216146,2.134986581449811,5.028746623281077,4.936962406473355e-07,0.0011032465324332455,Manbal
D19Wsu162e,1332.1779726985528,10.178392334772946,2.0099473414815336,5.064009451745361,4.1052928064366996e-07,0.0011032465324332455,D19Wsu162e
Xist,412.73135217343975,-13.48325410948013,2.887017245974217,-4.670306049706412,3.007513214425731e-06,0.005040592147377525,Xist
Ranbp2,495.6064416568166,6.984710912762505,1.6404714391221602,4.257746124796983,2.0649826040038978e-05,0.018563989367491675,Ranbp2
Ddx3y,887.7260763608812,10.614688284313583,2.444934260570214,4.341502532603064,1.415116472643328e-05,0.018563989367491675,Ddx3y
Cog5,430.6610814542194,-8.44919925559548,2.004887089261102,-4.21430179327925,2.505520743561303e-05,0.018563989367491675,Cog5
Mgmt,1400.598264453685,12.749114544927304,3.047296616051765,4.18374584140277,2.8674468271159167e-05,0.018563989367491675,Mgmt
Wasl,586.7849180516549,10.018360344782865,2.4024846784568874,4.169999681836741,3.0460006420406985e-05,0.018563989367491675,Wasl
Fdft1,925.3534365441067,8.369825655619065,1.988510835677455,4.209092304376402,2.563986356935538e-05,0.018563989367491675,Fdft1
Fam98c,659.9036915372648,11.663269919672297,2.7937112657948253,4.174830113073276,2.982085086102722e-05,0.018563989367491675,Fam98c
Pop4,285.65912639480587,8.063134681666115,1.9498458801935057,4.135267696576059,3.545411024523211e-05,0.018832964342470303,Pop4
3000002C10Rik,394.53086120617866,-13.409467445354096,3.2552080580198948,-4.119388747615389,3.7987878236255625e-05,0.018832964342470303,3000002C10Rik
Cox6a2,1089.232621234874,-15.380181834929454,3.7408745249838105,-4.111386717787872,3.932898281542128e-05,0.018832964342470303,Cox6a2
Vill,160.24748421416913,-11.715239460449695,2.8647898813444614,-4.08938873204609,4.325114815338311e-05,0.01933037981468536,Vill
Alkbh7,876.3300255030815,10.648585489805846,2.622018841577063,4.0612162357311865,4.881772916850804e-05,0.02045462852160487,Alkbh7
Tsix,127.13305930659298,-11.783596140375824,2.9166804568430353,-4.040071003571706,5.343502184717486e-05,0.02100876413852732,Tsix
Sec24b,1036.5094238041079,7.374548806705572,1.8311145660414936,4.027355220404305,5.640777960821774e-05,0.02100876413852732,Sec24b
Fyb,321.5778150861011,-9.957207193778585,2.485607159190153,-4.005945652740551,6.176985166152986e-05,0.021795004502047167,Fyb
Dcaf15,657.679429761706,11.658245512273858,2.9264403172840754,3.9837632920166497,6.783244029028405e-05,0.022737433985303212,Dcaf15
Ccnd1,201.32492680888564,-11.077306466131539,2.8404057186895972,-3.899902888254281,9.623127890180193e-05,0.027675954516806323,Ccnd1
Armc8,393.38240336045385,8.4140140252362,2.167825600836966,3.8813150015331814,0.00010389316796665007,0.027675954516806323,Armc8
Fam136a,429.6988690252198,11.044637635252666,2.8239606704340523,3.911045132776254,9.189759603704813e-05,0.027675954516806323,Fam136a
Map3k11,1007.4626038410644,9.177548837629478,2.369388698961239,3.8733825486940994,0.00010733514579906985,0.027675954516806323,Map3k11
Eml2,903.3922656699016,9.735685401891311,2.4987719047188848,3.8961881168527817,9.771850076822009e-05,0.027675954516806323,Eml2
Siva1,487.084258705142,9.800597201150781,2.5274275914311355,3.8776965300126656,0.00010545013668725856,0.027675954516806323,Siva1
Eif2s3y,288.21450371118647,8.994167105520225,2.3338669846576643,3.8537616602171116,0.00011631682941128957,0.028881037939751306,Eif2s3y
Gypc,757.8611130181431,10.380300332232002,2.713801177040128,3.825003990732115,0.00013076996817563686,0.03131006666605248,Gypc
Tppp3,2467.5287704797593,10.050552347079872,2.6400834418242805,3.806907080230391,0.00014071558448646058,0.03252956132404248,Tppp3
Znhit3,931.5273486368146,12.160657038212038,3.251574178292732,3.7399291455184023,0.00018407213449611633,0.03359765620735741,Znhit3
Nrp2,361.75288129652324,8.292071328241002,2.227403064480406,3.722752949599323,0.00019706232161046693,0.03359765620735741,Nrp2
Dgcr2,750.2324102002626,11.84814790047228,3.1310206769789657,3.784116785809357,0.00015425538279978163,0.03359765620735741,Dgcr2
Dmap1,931.9920559296504,12.161386230366633,3.279357937395475,3.7084656394737516,0.0002085189488898626,0.03359765620735741,Dmap1
Med31,468.8574058388235,11.170051237713412,3.0139748491826905,3.7060864130111875,0.00021048650965229884,0.03359765620735741,Med31
Wdr55,733.7753942348787,10.393468678391432,2.8019629978330536,3.709352581183049,0.00020778990042319087,0.03359765620735741,Wdr55
Nagpa,1130.9760901119266,5.670875770552159,1.517433560243533,3.7371493020373427,0.00018611841747240025,0.03359765620735741,Nagpa
Kctd13,260.1447348907848,6.510355222196343,1.7391777574080858,3.743352394236453,0.0001815812883606344,0.03359765620735741,Kctd13
Ccr9,309.7991779600738,-13.05631319918521,3.483453996192325,-3.748094050748692,0.00017818344320372692,0.03359765620735741,Ccr9
Tnfrsf1a,267.1614193339875,-8.77652741568123,2.345534456543894,-3.7418028079678254,0.0001827048567127925,0.03359765620735741,Tnfrsf1a
Fbxl4,938.5345622637394,12.17141256798957,3.2465299968392003,3.749052859465206,0.0001775036731765087,0.03359765620735741,Fbxl4
Vps18,375.3155656530012,7.882525102103294,2.0996067616277663,3.7542863959878816,0.00017383601412027645,0.03359765620735741,Vps18
Ugcg,326.15275183807233,5.970512646111801,1.608711316635171,3.7113636140758333,0.0002061457300272391,0.03359765620735741,Ugcg
2310015A10Rik,548.9768091233103,11.39781302862235,3.117788555747669,3.6557363736583057,0.00025644478945816815,0.03998153182622231,2310015A10Rik
Gapvd1,163.4973831825215,7.204501280863361,1.9886493324954668,3.622811303701671,0.000291418415489363,0.044401569487288406,Gapvd1
Rab31,573.0879081791156,7.194313395432496,1.9963480338460262,3.603737060602819,0.0003136743882912755,0.04637276265032281,Rab31
N6amt1,431.7548401868702,11.051068053588546,3.0697223244158773,3.6000220494508084,0.0003181901971830026,0.04637276265032281,N6amt1
Ppa1,1198.0451760160702,6.308642055710585,1.7573082147748658,3.5899462613727127,0.0003307461408389292,0.04717706655711024,Ppa1
9830001H06Rik,209.4712210348658,-11.143919169684333,3.139902979019586,-3.54912850624574,0.00038650840790015406,0.04905007343657012,9830001H06Rik
Klk1,1826.34709469612,-13.471271136800135,3.793990342216572,-3.550686723395765,0.00038422747305586884,0.04905007343657012,Klk1
Erap1,394.211405699326,8.474679102668652,2.3884002330163248,3.5482659001276056,0.000387776535223481,0.04905007343657012,Erap1
Mfsd10,1058.565144295396,3.7858899058446243,1.0638107637079304,3.55880015036588,0.00037255287084690783,0.04905007343657012,Mfsd10
Pmm2,354.1982675280233,5.3690660360662905,1.5073935197558501,3.5618210942925566,0.00036829132553649856,0.04905007343657012,Pmm2
Gsto1,729.3056932171642,7.584670526001425,2.1275983529500455,3.5648977239923196,0.0003639981007672237,0.04905007343657012,Gsto1
Dnajc17,791.4584633992978,11.925546828693923,3.381922083787293,3.5262630342266585,0.0004214681467890684,0.052324489927294715,Dnajc17
Numb,512.2068424638247,-13.460347566703916,3.827261296841876,-3.516965924905867,0.0004365098152034327,0.053206578202251144,Numb
Ing4,526.6941480027645,11.337959340767744,3.247176504743108,3.4916362951649034,0.0004800714645176616,0.05691630099299668,Ing4
Trmt12,441.8352498421129,9.66081342031717,2.76853773004494,3.489500365292242,0.0004839243968676627,0.05691630099299668,Trmt12
Hmbs,211.73799768584337,7.577589998301573,2.1870332814908036,3.4647803773412478,0.0005306646547911907,0.06133751458138177,Hmbs
Polr1c,1616.595792669706,6.2590185275531,1.8131381553066022,3.4520361888775644,0.0005563730996687568,0.0621654210029891,Polr1c
Dnajc4,353.37381201120115,10.76226880943746,3.114690829536316,3.4553249097406042,0.0005496300460840239,0.0621654210029891,Dnajc4
