,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
H2-Q6,837.0647319601165,12.194121878577986,1.2961504452753188,9.407952543647664,5.058951000201019e-21,5.899748656434429e-17,H2-Q6
D2hgdh,274.8219102602395,-9.450313377499851,1.3828243154390152,-6.834066534691786,8.254071178721163e-12,4.81294890431231e-08,D2hgdh
Lamb1,6242.878841678774,-2.2031849696647035,0.32913716580425195,-6.693820080394706,2.1741871175056306e-11,8.451790054783555e-08,Lamb1
Rhoc,8296.79867793997,2.2342474342554506,0.3446898491337609,6.481906676017097,9.057065928443952e-11,2.640587571437834e-07,Rhoc
Arhgdia,11814.073757494005,1.2720483178207114,0.20318886071550957,6.260423496353681,3.839333895795417e-10,8.954862378553232e-07,Arhgdia
Dbc1,181.0739992742763,-9.376369956860195,1.5050844560627978,-6.229796553336391,4.67041285178496e-10,9.077725779586033e-07,Dbc1
Ptma,5475.989205185318,1.9431662177267766,0.31820309067934793,6.106685556002025,1.0172136181618236e-09,1.694677887857598e-06,Ptma
Sf3b4,1225.420068467055,1.76413574742472,0.29173941150551924,6.046957242838427,1.4760690984897808e-09,2.151739728323478e-06,Sf3b4
Hoxb6,524.6190594297361,3.4519476866831655,0.5807638796117028,5.943805749405643,2.784795847157019e-09,3.6084765743939065e-06,Hoxb6
Tm7sf3,2438.2927616649936,-1.758627376889687,0.29946059886016135,-5.872650303858206,4.288825521484077e-09,5.001628323154731e-06,Tm7sf3
Ano6,1678.2739057290794,-1.875887923261936,0.32098504872794176,-5.84415981584204,5.09131319199705e-09,5.39771767682451e-06,Ano6
Tmsb10,2591.0466195303984,2.5422337157697066,0.43704537371202035,5.8168644920718116,5.996171085579006e-09,5.827278933335198e-06,Tmsb10
Ptms,2884.531335183582,2.086488129713294,0.3623170603766922,5.758735532751406,8.474635630674077e-09,7.0593714803515055e-06,Ptms
Cfl1,11855.723447915592,2.2445317769152875,0.3889671450504304,5.770491943797154,7.904044424955159e-09,7.0593714803515055e-06,Cfl1
Lepr,2451.519175543787,-2.708769886893606,0.48189232405737137,-5.62111025983289,1.8973412490693925e-08,1.2908044678243322e-05,Lepr
Nr1d2,453.76989090275663,-6.5587039066757375,1.1639062889234437,-5.635079017179482,1.749780881537595e-08,1.2908044678243322e-05,Nr1d2
Dlgap4,3886.3298753854915,1.4503751131709925,0.2575524713726368,5.631377192543162,1.7877625388786488e-08,1.2908044678243322e-05,Dlgap4
Snrpc,858.680378785571,3.272270826138838,0.5832012605846912,5.610877491688217,2.013032400789455e-08,1.2908044678243322e-05,Snrpc
Pcdhb20,386.9077032436214,-7.553967213376613,1.3502698285048178,-5.594413097226116,2.2136931363819795e-08,1.2908044678243322e-05,Pcdhb20
Surf2,787.426108075371,2.3864451822812494,0.42617940862409004,5.599625730360437,2.1481508391031793e-08,1.2908044678243322e-05,Surf2
Ppp1r35,497.9382388616173,3.750054265939676,0.6762043550264887,5.5457410737805395,2.9271172395744414e-08,1.6255257737103398e-05,Ppp1r35
