,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
Car7,315.6861301561501,8.646351734593562,1.028979542014784,8.402841243727405,4.3580367535664684e-17,5.600948835683626e-13,Car7
Mboat2,1139.1243439679365,-5.804413843360977,0.7152681911820892,-8.115017436702033,4.857150677294571e-16,3.121205025229491e-12,Mboat2
Tmem45a,323.32550191546846,7.4709892377808345,0.9849103379673045,7.585451131724079,3.3133218570338326e-14,1.4194270835532938e-10,Tmem45a
Ezh2,251.11128783744064,4.839998654157447,0.6712110113320344,7.210845132817998,5.560566781228405e-13,1.7866101068086865e-09,Ezh2
Ins1,164.57881058758102,-9.801729489204217,1.370498474656595,-7.151944836465601,8.555695303613874e-13,2.1991559208409103e-09,Ins1
Oas1c,624.0675162691299,10.289522174344043,1.4976142204682479,6.870609288904118,6.392826519956344e-12,1.3693434405746488e-08,Oas1c
Lynx1,170.46085319514646,7.957323655890943,1.1646618671007483,6.832303761863099,8.35616723354041e-12,1.534192304078019e-08,Lynx1
Myl6b,314.9317598575272,8.38891079764842,1.2597260045979952,6.659313824616564,2.7510894666579015e-11,4.419625228185919e-08,Myl6b
Cdt1,243.65387004835688,6.99366642973313,1.2301253348309917,5.685328341517328,1.3056156938533802e-08,1.864419210822627e-05,Cdt1
Gm7609,213.48057027317537,5.3475834310287045,0.9515782963322116,5.619698822094378,1.9129062861457795e-08,2.458467158954556e-05,Gm7609
2410017I17Rik,187.51862086966412,6.079752530628963,1.0998323559942353,5.527890225718028,3.241047341199093e-08,3.471161702424229e-05,2410017I17Rik
D4Ertd22e,5258.934103502889,1.4188230331162357,0.25654473677628836,5.530509224024639,3.1930250663264705e-08,3.471161702424229e-05,D4Ertd22e
Stx11,512.0034292714554,5.94512067410511,1.0799429884623588,5.505031967076219,3.691012881887198e-08,3.648992119847251e-05,Stx11
Fam82a1,88.96804499205835,6.098583342660026,1.112847273577269,5.4801620019753585,4.249365676019606e-08,3.900917690585998e-05,Fam82a1
Tmem119,148.59350950428737,-5.856795823617495,1.0816400663816954,-5.414736385653373,6.137906643994936e-08,5.258958412574861e-05,Tmem119
H2-DMa,56725.00061810198,3.5581175752288305,0.6654647059509189,5.346816357667597,8.951475604614397e-08,7.190272779406514e-05,H2-DMa
Map3k13,176.28397766413238,8.975176476640153,1.6969334251970234,5.289056331481056,1.2294902494551843e-07,9.294946285881193e-05,Map3k13
Gypc,1112.5410395097176,-3.956474308563561,0.7517381652910146,-5.263101557484343,1.416452829137755e-07,9.643400154129585e-05,Gypc
Asb4,80.7666392180946,-10.879271710237077,2.0675510800474703,-5.2619119378599795,1.4256505052012302e-07,9.643400154129585e-05,Asb4
Morn1,138.79989274423548,7.017505023735535,1.3375886572081113,5.246384967395625,1.5511262042809084e-07,9.967536988709118e-05,Morn1
A630001G21Rik,108.36159838301059,5.146524599920998,1.0021545123641689,5.135460187451437,2.814544602486675e-07,0.0001694613741784507,A630001G21Rik
Eps8,179.01843569851803,6.660384506812504,1.2983766215913113,5.129778521927967,2.900832735703327e-07,0.0001694613741784507,Eps8
Iapp,120.73123227422148,-7.823902302958214,1.5312958852471519,-5.109334112587544,3.232962023797979e-07,0.00018065229534718096,Iapp
Selplg,297.5396279581051,-4.9532951681021915,0.9716072936689084,-5.098042388502397,3.431839822415242e-07,0.0001837750224903362,Selplg
Cx3cr1,70.01315667425243,-7.355695336858634,1.4514995351427011,-5.067652561208346,4.0275167513224473e-07,0.00019908325110767729,Cx3cr1
Slfn9,201.7662257855495,7.535537668192099,1.4861456855088486,5.070524203427586,3.9672145663730453e-07,0.00019908325110767729,Slfn9
H2-Eb1,111027.94211314029,2.818524331858576,0.5595471202985113,5.037152778759596,4.725076316279139e-07,0.0002186331232579751,H2-Eb1
Grip2,157.97315641023263,8.81719711563057,1.7509683775229696,5.035611852741701,4.763248872722769e-07,0.0002186331232579751,Grip2
Tubb1,478.14481088837476,9.889797253831029,1.9747072532075935,5.008234632129216,5.493154541864444e-07,0.00024344145576566146,Tubb1
Dtx3l,3853.248276673003,-1.339852494524903,0.26974744534417106,-4.967062775387489,6.797458916054313e-07,0.00028816657526981417,Dtx3l
Gm4759,166.46712543929237,8.892586947636547,1.7918727958708345,4.96273338605759,6.95079663349225e-07,0.00028816657526981417,Gm4759
Zfp503,2562.562929693272,1.803968849526057,0.3640734215748651,4.95495892483078,7.234557047906277e-07,0.0002905578974365359,Zfp503
Colec12,2354.4646040080784,-5.155838401183351,1.0488418730889455,-4.915744244648515,8.844580311798135e-07,0.00034445620050675647,Colec12
Napepld,60.20339688098726,7.425070245193758,1.5278531095594308,4.8598063509749565,1.175006287549795e-06,0.00044415237669382247,Napepld
A230073K19Rik,114.30361722932159,5.20161484567487,1.0747484724266936,4.8398439068539,1.2994114815647629e-06,0.0004771438960305809,A230073K19Rik
Smarca5-ps,58.7888248775753,5.182731800078733,1.073826479245602,4.826414602589954,1.3901296111530735e-06,0.0004962762711816473,Smarca5-ps
Slc2a5,32.76859413857571,-7.462702613109115,1.5496373349426797,-4.81577362963132,1.4663067824239265e-06,0.0005093236423706028,Slc2a5
Hoxb6,188.41173230842006,7.6383108509440225,1.5953691765144342,4.787801446454055,1.6861834867593903e-06,0.0005702850045218865,Hoxb6
Plag1,189.96298900144956,8.565503804550113,1.7948266170993483,4.7723293843240295,1.8210735890632535e-06,0.000600113788888229,Plag1
Snord72,46.772780418487024,-10.680685163421149,2.251951618166808,-4.742857296426163,2.1072471529486454e-06,0.0006770585102423998,Snord72
Aes,11522.437758792676,1.7882785594051207,0.3778165806998116,4.733192376292163,2.210158289013054e-06,0.0006928037641559943,Aes
Snrpc,3335.1249529798047,2.775737530738428,0.5871976925139261,4.727092027311736,2.277580580848178e-06,0.0006969396577395425,Snrpc
Ggt5,20.864075448957777,-7.960291559713734,1.6915192062454956,-4.70600128589875,2.526229243036639e-06,0.0007550487960815556,Ggt5
Ins2,336.4652911631842,-7.044018159055662,1.5022296211157398,-4.689042247631831,2.7448671993559557e-06,0.0008017507555936987,Ins2
Fam57b,274.32010945808037,3.9623529905905954,0.8502488842434947,4.660227215841727,3.1586051177487906e-06,0.0009020976216290547,Fam57b
