,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
Tmsb10,14551.248701177105,2.290063042885167,0.2814060409423403,8.137931350785742,4.020887094026362e-16,3.8053675457865485e-12,Tmsb10
Gtpbp8,463.75593435444944,8.087088483644433,1.2324842354993797,6.56161616571728,5.322768468096182e-11,2.5187340391031134e-07,Gtpbp8
Znrf2,191.43437953781034,4.246766180403236,0.6874766214635079,6.177324505032147,6.519698154748732e-10,1.6909181038123936e-06,Znrf2
1300001I01Rik,201.01151479538757,7.465329003847706,1.211352408653545,6.162805266673508,7.146737547812315e-10,1.6909181038123936e-06,1300001I01Rik
Akr1c13,343.73842403425976,9.390567406393204,1.555417347656611,6.037329736961605,1.5668534410520385e-09,2.9657401932232985e-06,Akr1c13
Gys1,243.22397431246364,9.741708068572821,1.7412693296131463,5.594601537452632,2.2112902781682466e-08,3.0928800179840187e-05,Gys1
Smo,94.85295905677202,43.2808512266689,7.744337304856667,5.588709468985345,2.2876331493964636e-08,3.0928800179840187e-05,Smo
Trip10,256.908140689147,7.732387891165866,1.4009722147747685,5.519301389149239,3.403500232229949e-08,4.02634077472803e-05,Trip10
Ercc3,197.9985127539544,6.541068999774977,1.215105425001021,5.38312879293538,7.320212114745366e-08,7.697609717105572e-05,Ercc3
Mtif3,546.0203637887537,2.9405039598165397,0.5549762876139607,5.298431708602914,1.1680154583392218e-07,0.00011054098297722395,Mtif3
Ppcs,314.20645903130105,9.596532267071739,1.8673710340361132,5.139060257526814,2.761158523222177e-07,0.000237560038761588,Ppcs
Igf1r,181.66954701515826,5.339051972974535,1.0444480100728077,5.11184082068609,3.190346051252444e-07,0.00025161195857544276,Igf1r
Zfp367,209.50026338112647,8.32758795155137,1.667523341761994,4.99398583695506,5.914573704883431e-07,0.00040764621759976184,Zfp367
B4galt5,891.4898308237046,3.96932390908347,0.7954166070565337,4.990245204675936,6.030269491120737e-07,0.00040764621759976184,B4galt5
Dock7,242.88933177638646,6.078349991746691,1.231181196940747,4.937006840950986,7.933068936752616e-07,0.000500523762782845,Dock7
Csnk1g1,730.0469972066122,3.240341687619962,0.6713109419400112,4.826886447367816,1.3868414234625094e-06,0.0007720627783323053,Csnk1g1
Mzt2,200.8795538658216,9.215251230521753,1.9055037277246585,4.836123433631686,1.3239572629452438e-06,0.0007720627783323053,Mzt2
Rspo1,267.1104563731493,9.011169445282988,1.9150451673600004,4.705460528487379,2.532935113081793e-06,0.0013317609950114495,Rspo1
Wdr73,146.32494109711942,9.874372011686267,2.1101727401044443,4.679414070716092,2.876959016462577e-06,0.00143302842798957,Wdr73
6530401N04Rik,873.008043202018,6.081589385271791,1.3215706129568188,4.601789208724258,4.188770145914241e-06,0.0019821260330466187,6530401N04Rik
