,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
D9Ertd402e,78.68839343723153,-43.2808512266689,4.006674720618424,-10.802187410908308,3.360996298812606e-27,3.202693373138532e-23,D9Ertd402e
Cxcr7,6045.13538031498,-7.761407567235788,1.0831345479042735,-7.165691078964397,7.739512232089782e-13,3.687490602979177e-09,Cxcr7
Cdc42se2,1211.832911745454,-7.04249273072056,1.0093609848763907,-6.977179459321984,3.0116491637233677e-12,9.566001627039992e-09,Cdc42se2
Dnajc10,812.0908486305486,-7.638051042025685,1.1121052893806251,-6.868100633061114,6.506232052029559e-12,1.5499471305947417e-08,Dnajc10
Leprel2,1097.9323668713048,-8.69957179316515,1.290163795148099,-6.7429979246677885,1.55151426201523e-11,2.9568758805486253e-08,Leprel2
Cyth3,864.9314541073029,-7.881343781806278,1.2139839582357705,-6.4921317356284405,8.463020336496429e-11,1.3440686797745745e-07,Cyth3
Skiv2l2,1049.2425324768988,-8.752632382302318,1.356765842673057,-6.451100187677306,1.110410581396989e-10,1.5115860614474156e-07,Skiv2l2
Ttll1,919.0763718091525,-12.145884442649544,1.9851995064814005,-6.118218548309588,9.462723180848195e-10,1.1271286148787806e-06,Ttll1
Hes6,1368.2324799687535,12.434156095864013,2.0712698777607916,6.003155952476039,1.9351857728449556e-09,2.0489316921599535e-06,Hes6
Ube4a,692.6756580001723,6.758483437069705,1.1431244882914167,5.9122899616745554,3.3738392716343268e-09,3.21493144194035e-06,Ube4a
Acadsb,653.909722065305,-10.64871587663819,1.820225499325337,-5.850217943098323,4.909293103015312e-09,4.252786725330264e-06,Acadsb
Radil,596.0216848544815,-8.928097541068682,1.5368112570288945,-5.809495147978877,6.266151004685542e-09,4.975846076970711e-06,Radil
H2-Eb1,2247.8426161510442,10.198186006849115,1.7618364839340281,5.788383939057414,7.106682572984716e-09,5.1161726886789726e-06,H2-Eb1
Zfp866,609.8075150280442,-11.551200858703956,1.998839617370828,-5.778953327880211,7.51667726324962e-09,5.1161726886789726e-06,Zfp866
9130019O22Rik,613.3354682673828,-11.562233593400629,2.0238793302655207,-5.712906604903038,1.1106263966057611e-08,7.055439288837531e-06,9130019O22Rik
Rnft1,519.4541901560581,-11.322651695961282,2.0041583602151625,-5.649579354969586,1.608409244790057e-08,9.015606878590854e-06,Rnft1
Scarna13,101.01927061648163,43.2808512266689,7.656554575398266,5.652784264835936,1.578694045545968e-08,9.015606878590854e-06,Scarna13
Zfp157,617.002592950582,9.530952130108217,1.6928807919536708,5.630019653722346,1.8018908794914578e-08,9.539010105930056e-06,Zfp157
Ythdf1,419.85713081237543,-6.917871710116032,1.2456340180616137,-5.553695234561142,2.79692953221612e-08,1.4027337638151268e-05,Ythdf1
Phtf1,601.2187519713675,-11.53037136365934,2.0982106643788567,-5.495335410981113,3.899685052958781e-08,1.8580049434822113e-05,Phtf1
Rft1,613.8825009861223,9.530630512621702,1.7430263679498048,5.46786364673983,4.55492051052032e-08,2.0668494068927683e-05,Rft1
Sun1,1320.6711482092041,-7.2377247524705375,1.3279421545946373,-5.450331347211354,5.0276060589120956e-08,2.082959049364059e-05,Sun1
Tmtc4,544.2657433021142,-11.390233521958514,2.0895605362862355,-5.451018682714172,5.0082108096946666e-08,2.082959049364059e-05,Tmtc4
Fzd4,1493.4156994377906,-6.180986759506081,1.1392859135908446,-5.425316582757188,5.7851909783196264e-08,2.2969618680169886e-05,Fzd4
Usp14,427.12663138739595,-11.037405994159949,2.040983162805715,-5.407886843606765,6.377269296939192e-08,2.3372691973282137e-05,Usp14
Tbck,511.52360239501417,11.012719692177448,2.034540257919702,5.4128787323372265,6.201949427485695e-08,2.3372691973282137e-05,Tbck
Plekhf2,575.2446419005088,-10.463582565837296,1.9426055063362477,-5.3863651326571205,7.189683214787329e-08,2.537425605692906e-05,Plekhf2
Itpkb,534.9284265223737,-9.772301120977405,1.836821730754308,-5.320222946711501,1.0364016667535366e-07,3.527096958033732e-05,Itpkb
Obscn,98.03912495992502,43.2808512266689,8.347055059871437,5.185164218544824,2.1582460767826787e-07,7.091698919193844e-05,Obscn
Susd2,1221.4994920572,-5.224059372790847,1.0193884448053958,-5.124699420924017,2.9801278109282505e-07,9.4658793034451e-05,Susd2
Duoxa2,1294.6809510923492,-6.583478203309599,1.2890831336403252,-5.107101343198936,3.271383171379961e-07,0.00010055809754864403,Duoxa2
Ccs,394.1777334326851,-9.91736790392251,1.951183595705755,-5.082744609860939,3.7201975567072656e-07,0.00011078050786832355,Ccs
Ap1ar,306.7561899923943,-10.559277641636426,2.0881717801761264,-5.05670929081601,4.265527063011201e-07,0.00012317032540434464,Ap1ar
Chpt1,306.77111308944336,-10.559480310719977,2.0929691529743475,-5.0452154517966745,4.530106077393446e-07,0.00012696288473965336,Chpt1
Fam102b,807.1331728885084,-5.518120007921233,1.095326813679673,-5.037875398469886,4.7072770266424383e-07,0.0001281589793910737,Fam102b
3110056O03Rik,342.14174779160595,-9.72279899774966,1.9385640689757029,-5.015464360116292,5.290553131782673e-07,0.00014003800220210305,3110056O03Rik
Vwa5a,394.3702702331917,-9.928172525345937,1.9848493648138164,-5.001977833354232,5.674511639872402e-07,0.00014614167950363275,Vwa5a
Sgk1,1222.6951450718384,-13.999674355014408,2.8130317047161273,-4.976721140946814,6.467038409333884e-07,0.00016216949737511206,Sgk1
Pds5b,360.74586043377275,-9.789736875357118,1.9708896700931242,-4.9671663634497385,6.793830277402132e-07,0.00016599591977785875,Pds5b
Pptc7,297.29032034672707,-10.514180861402362,2.11974315272891,-4.960120214501762,7.04495684502682e-07,0.0001678284844406514,Pptc7
Nop56,787.0212484178594,-9.341146258523708,1.8904629773849697,-4.941195024853163,7.764519417776263e-07,0.00018045879398046342,Nop56
Bbs12,97.75400126322162,43.2808512266689,8.788542598635125,4.924690384204371,8.449402988065548e-07,0.00019170085969827765,Bbs12
Zmpste24,681.6794194715505,-5.784798817128706,1.1806001458930149,-4.899879808801007,9.589530090877204e-07,0.00021250844706039273,Zmpste24
Fam124b,360.9386253034321,-9.799812035462677,2.00799858764418,-4.880387912503461,1.0587737635043771e-06,0.0002213715644997601,Fam124b
Fbxw9,292.1153106247447,-9.494395796665692,1.9453081977202171,-4.880664055080088,1.0572921756697224e-06,0.0002213715644997601,Fbxw9
Ptpn3,297.6023060130152,-6.917796261530281,1.4180001999770944,-4.878558029570113,1.0686422465094937e-06,0.0002213715644997601,Ptpn3
Ccdc80,276.31846675756975,-10.408127447817423,2.1386347367097955,-4.866715792632225,1.1346801848675576e-06,0.0002272351553520547,Ccdc80
Cav2,4810.32757443482,-5.460799908655017,1.1224695009361938,-4.86498733738462,1.1446413534367327e-06,0.0002272351553520547,Cav2
Nts,1052.7013693155718,-13.783750797648809,2.846865621758055,-4.841728633870953,1.287144641896183e-06,0.0002503102304618108,Nts
Rab3gap1,183.26403726987337,-7.223924154657419,1.4997854133995974,-4.816638493824785,1.4599684437429097e-06,0.00027824078600852375,Rab3gap1
Adm,957.604298749676,-13.647139940829899,2.841459838174662,-4.80286216172485,1.564135630486849e-06,0.0002922480082923369,Adm
Map3k6,911.1302263708237,-13.575289478756256,2.855812869681471,-4.753564080783208,1.998617183095877e-06,0.00036624659880231945,Map3k6
Rrp7a,522.1791581625923,8.76604530191743,1.8519430159433734,4.7334314427876905,2.2075554965367633e-06,0.00039690181748110973,Rrp7a
Papss1,817.7414918796283,-13.419277157374923,2.8645768353221226,-4.6845582886471675,2.805643185784585e-06,0.0004865416432514162,Papss1
2810008M24Rik,800.8859201649632,-13.389246724054892,2.8582822804912498,-4.684368235930042,2.8082474948922126e-06,0.0004865416432514162,2810008M24Rik
Nfkbil1,344.03652318691786,10.231339040105546,2.1883408436894736,4.675386409575864,2.934006425472585e-06,0.0004932572378451309,Nfkbil1
Pak4,254.65923842754523,-10.29000059576157,2.2014306395981307,-4.674233387448447,2.950536526096386e-06,0.0004932572378451309,Pak4
Vopp1,238.17868281034066,-10.19347979239619,2.188043641052025,-4.658718684191829,3.1818367275687726e-06,0.0005227538306379799,Vopp1
Bace2,256.1881924142281,10.020106936543227,2.161524934280816,4.635665671780522,3.557906280309184e-06,0.0005746320160180715,Bace2
