,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
Snhg11,2625.757033864088,7.267064269337606,1.0561453647151477,6.880742473643863,5.954140482605193e-12,4.814024065765725e-08,Snhg11
Slc9a3r1,477.2751443312364,-10.28660860569828,1.5071845659389944,-6.8250490604577,8.789527233459421e-12,4.814024065765725e-08,Slc9a3r1
Ccl2,1801.4259336005205,10.889195971642526,1.684902408874467,6.462805153751679,1.0277960023325394e-10,3.752825803183546e-07,Ccl2
Phlda3,9786.550480140435,2.1399879518190623,0.3392820319643102,6.307401365847078,2.837592948643868e-10,7.770748289861233e-07,Phlda3
Serpina3i,472.5245159926286,9.52720223566511,1.5478552549381215,6.155098937882262,7.503064023685339e-10,1.6437712663089843e-06,Serpina3i
Prr13,3878.282470082432,2.6455853602504216,0.4752771723795679,5.56640527674574,2.6004803630575077e-08,4.747610316155324e-05,Prr13
Tcf19,564.3388491208876,9.447322250618146,1.73573400549906,5.442839871021507,5.243778167487372e-08,8.205763720950954e-05,Tcf19
Pola2,442.4963473841108,9.097061519050415,1.7002574613170645,5.350402351420113,8.77588963069634e-08,0.000106812327794053,Pola2
Mnda,216.94591138320357,6.973826797210657,1.3009470160675785,5.360577111196047,8.295650684928787e-08,0.000106812327794053,Mnda
Doc2a,139.8161296334269,6.781999660460349,1.2755003051027947,5.317128998972507,1.0541733434156718e-07,0.0001154741480377527,Doc2a
Zfp503,642.0199840298981,3.9953818293901064,0.7701839345943595,5.187568384550106,2.130576987031283e-07,0.00021216673014491522,Zfp503
Rhoc,4488.332564048681,1.8656846039666604,0.36234007811393504,5.148987695973312,2.618960588138227e-07,0.00023906745235388453,Rhoc
Tuba4a,475.5078274214622,4.958522236299439,0.9756398832500016,5.082328348224002,3.72836188670914e-07,0.0003141575085154763,Tuba4a
Mier3,1208.1001506417508,-2.7275319801916194,0.5446331060584209,-5.008017231877649,5.499361224296197e-07,0.00043028573464957536,Mier3
Grina,8973.542544713659,1.3714912776169,0.27747731591439473,4.942714949859261,7.70420881030111e-07,0.0005626126887202557,Grina
4930563E22Rik,102.5534461336401,43.2808512266689,8.909681765124565,4.8577325619063565,1.187376363706277e-06,0.0008129075430024099,4930563E22Rik
Hp,3345.3726250468894,6.862513885276915,1.4170642490868703,4.842768342860241,1.2804253964674036e-06,0.00082504587017082,Hp
ORF61,793.6712052008282,3.0193283831589097,0.634614296238011,4.757737733072618,1.9577462707094556e-06,0.001128692244702704,ORF61
Arhgdia,14705.060408957099,1.350079713730175,0.2837379847580853,4.758191663626748,1.953349834331736e-06,0.001128692244702704,Arhgdia
Bin3,1091.5889334137978,-1.876470106957504,0.4037955703711896,-4.64707947447902,3.366674842053184e-06,0.001843927810992529,Bin3
Mndal,275.344900321788,4.887992515414661,1.0576857601374576,4.621403350253495,3.8115289572924586e-06,0.001988166104675314,Mndal
Hspb6,965.0182752795478,3.8242768919006296,0.8318763421856739,4.597169913322353,4.282683556309089e-06,0.002132387076173171,Hspb6
Mmaa,334.0482785915981,5.952511016700498,1.302833623647458,4.56889575818257,4.9030054789449865e-06,0.0022378134173484743,Mmaa
Elovl1,7078.728503064147,2.013627299292434,0.4406458173507825,4.569718399685742,4.883799888527379e-06,0.0022378134173484743,Elovl1
Itga1,375.1162380641435,-7.1658572876077,1.5760808018748376,-4.546630654395071,5.451153557782272e-06,0.00238847744287788,Itga1
Pebp1,6734.884527343264,1.6036622646332157,0.3566572304686238,4.496368298845675,6.912396183473223e-06,0.0029044757699152822,Pebp1
Ier3,5204.0037949286525,2.2703587262250604,0.5057714520775397,4.48890248134644,7.159105878009186e-06,0.0029044757699152822,Ier3
Slc6a9,191.84792577105506,3.7209614287639763,0.835543771197244,4.453341113933792,8.454427644352639e-06,0.0032032211998196587,Slc6a9
Pcgf1,223.67154180132945,4.916605810769895,1.1059978815635547,4.4454025570277445,8.77274383737354e-06,0.0032032211998196587,Pcgf1
Angel1,111.82364693448885,5.3262725562454465,1.1962475871438767,4.452483426915233,8.48827936779306e-06,0.0032032211998196587,Angel1
Foxs1,724.3515694446371,10.985934506265362,2.5120068707426917,4.373369609063728,1.2234332963790142e-05,0.004323060751140555,Foxs1
Il18bp,242.27689038009518,8.934793460314292,2.0526021215273422,4.352910564891119,1.3434196472467282e-05,0.0043817429922619845,Il18bp
Npdc1,6154.462947798802,1.8504376463417396,0.42536699155322233,4.350214480876594,1.3600443832107675e-05,0.0043817429922619845,Npdc1
Zfp580,555.225818749464,3.444663400271181,0.7910913513639618,4.354318112986644,1.3348175508583281e-05,0.0043817429922619845,Zfp580
Ppif,267.02338728564405,5.3485542887599005,1.2431336926546823,4.302477135293623,1.6889910519828358e-05,0.005001362247041448,Ppif
Hoxb2,1388.8209977727715,1.9971146748072282,0.4647510939756558,4.297170465427326,1.7299216037103637e-05,0.005001362247041448,Hoxb2
Trp53,3631.7780349683703,1.9830575818165246,0.46001082677836924,4.310893279848718,1.6259636872215543e-05,0.005001362247041448,Trp53
Ankrd29,165.319169966058,-12.138254189749144,2.8251358276051444,-4.296520567663711,1.7349987711116946e-05,0.005001362247041448,Ankrd29
2410002I01Rik,336.8806829089895,7.150491289819265,1.6717176825227535,4.2773318512899925,1.891467309343623e-05,0.005312598181166679,2410002I01Rik
Gpank1,806.6275298724514,6.773762783138546,1.585832906683125,4.27142276755142,1.9422979497547624e-05,0.005318982935403417,Gpank1
Nfic,5880.705489274748,1.3844777948742564,0.3278696735174256,4.2226466998957575,2.414501429442956e-05,0.006297249680504318,Nfic
Tmsb10,6238.937604890857,2.3149123832772602,0.5478790252467324,4.225225417663617,2.3870171784194813e-05,0.006297249680504318,Tmsb10
Commd6,1453.9516424121803,2.0475744975226657,0.4881623011306509,4.1944543705652855,2.735292038978297e-05,0.006967997440690295,Commd6
Gdf15,349.4069813702767,9.411771176744587,2.2540986775467484,4.175403353232034,2.9745852291699158e-05,0.0070833927392015775,Gdf15
Lrrtm2,177.17865008352382,-11.4821652979492,2.744171151083022,-4.184201591587179,2.8617008167520663e-05,0.0070833927392015775,Lrrtm2
Sema6d,364.05556288544443,-8.283147704711329,1.9834869410733778,-4.176053561627608,2.966100075851504e-05,0.0070833927392015775,Sema6d
Bcas2,2434.980264292714,1.9442868025579925,0.4671096941064618,4.162377332539063,3.1495134134306184e-05,0.007340376581004042,Bcas2
Slfn8,243.02230584827683,7.811593518778334,1.8935117740547216,4.125452836266643,3.700060050759648e-05,0.00844384537417108,Slfn8
Hist1h1c,5515.240130188895,2.3487747624732283,0.5720427539389875,4.10594268750014,4.026693188023755e-05,0.009001713710533104,Hist1h1c
Zfand3,1159.1944865130588,2.427214661384522,0.6044852105325423,4.015341680975425,5.93597349412524e-05,0.0127699707541011,Zfand3
Fcho2,920.4090895325539,-1.8576817754115447,0.4632181827790774,-4.010381812446099,6.062063896414617e-05,0.0127699707541011,Fcho2
Rnmtl1,331.84997108364865,5.845828107869488,1.456826007489903,4.012715367390916,6.002427305671662e-05,0.0127699707541011,Rnmtl1
Rps19bp1,605.2069447734852,3.4672273861706246,0.8702027218674148,3.9843904173617326,6.765356722691542e-05,0.013474130461884209,Rps19bp1
Aldh3b1,1414.6967301723153,4.634836901088773,1.1621466561592324,3.988168684670489,6.658531276284703e-05,0.013474130461884209,Aldh3b1
AW011738,242.45447972915082,6.674227381360266,1.671579291966616,3.9927674465911966,6.530660947862211e-05,0.013474130461884209,AW011738
Dph5,196.61048385686783,4.55660368354584,1.1456208596547477,3.9774098430077904,6.967002490569593e-05,0.013627954514589164,Dph5
Synpo,1044.455297771205,-1.9094571121455624,0.4833490630980347,-3.9504723561619466,7.799710665255553e-05,0.014730694935725746,Synpo
Trex1,1616.2082132302696,2.7032818502658698,0.6837479725288577,3.9536232045672017,7.697659829191235e-05,0.014730694935725746,Trex1
Cpxm2,380.6205185300944,7.79374125673913,1.976625963804814,3.9429519795120624,8.048477541239664e-05,0.01494288525198971,Cpxm2
Ccdc45,187.359655970758,4.492675992460922,1.140931132174209,3.937727585625154,8.225690225994351e-05,0.015017368455923686,Ccdc45
Cyth3,477.33359748085275,-2.8320881935553963,0.7210272316315915,-3.927851916420336,8.570795448546156e-05,0.015142660216673322,Cyth3
Ifi47,1104.1821431175704,6.133873956286877,1.5605802634691017,3.9305084780782393,8.476640433180322e-05,0.015142660216673322,Ifi47
Zfp593,245.31988131434417,3.9556985790809107,1.0089382970427456,3.920654603631643,8.830875923057811e-05,0.015354510295424645,Zfp593
Ptpru,345.2857504469526,6.675323541944067,1.7076727036686872,3.9090181201603227,9.267201349757252e-05,0.015861394310193896,Ptpru
Zpld1,123.25445931439563,-11.713978745889955,3.009915606280336,-3.8917964083272523,9.950472812687634e-05,0.01676884295233544,Zpld1
Sod2,4315.143283457523,1.7723316377404226,0.4577440544242329,3.8718834698349625,0.00010799758456797676,0.017589190429842676,Sod2
1700112E06Rik,287.8762369043224,9.112920700687622,2.3552423165665384,3.8692072728942803,0.00010918978904777269,0.017589190429842676,1700112E06Rik
Apba2,133.51493854751638,6.886049587233339,1.7790292330420985,3.8706781537582464,0.00010853300608928188,0.017589190429842676,Apba2
Rgs3,1620.5803961585202,2.0971387295283885,0.5440558915738419,3.854638396547452,0.00011590080591576195,0.01838372408864737,Rgs3
Gpr98,132.79377197176166,-9.634784639612532,2.5016779823463686,-3.8513288711027043,0.0001174786092938941,0.01838372408864737,Gpr98
Cyp4b1,209.5457111453156,-5.762137407580307,1.5003530533163063,-3.840520999270114,0.00012277346901598462,0.018678619161126325,Cyp4b1
Cpne8,116.61250820901442,8.35204944651419,2.173755809471352,3.842220644160289,0.00012192615165968246,0.018678619161126325,Cpne8
1700021C14Rik,134.35104901421587,9.311578979247175,2.442643595850241,3.8120907180508987,0.00013779628053547634,0.01924778973300292,1700021C14Rik
Taok2,714.4593915728499,3.400109475255642,0.8921561975920634,3.8111145609172072,0.00013834163211890897,0.01924778973300292,Taok2
Pcgf2,147.14819823331956,4.902730562053454,1.2848241459877363,3.815876730962566,0.00013570024115507775,0.01924778973300292,Pcgf2
Zbtb22,264.15986347855454,3.8632080243890123,1.0131739046664938,3.8129762389218493,0.00013730331728288456,0.01924778973300292,Zbtb22
Hn1,1798.4331867349742,-2.4393660685838996,0.6380259514886061,-3.8233022699037686,0.0001316761928481486,0.01924778973300292,Hn1
Atp5g2,930.3637232686094,1.7281505673022772,0.4528350007815152,3.816291948104248,0.00013547220235348264,0.01924778973300292,Atp5g2
Utp3,1147.5879419831033,3.2206508657510073,0.8452550980043934,3.810270855928357,0.00013881462378192722,0.01924778973300292,Utp3
Sbf2,1137.4489204287638,-2.2779957444726917,0.6007699443884104,-3.791793790203193,0.00014956307986795003,0.019989495682044268,Sbf2
Sgsm2,177.8248407773267,5.037937658170461,1.329741981055376,3.78865804791092,0.00015146322271404733,0.019989495682044268,Sgsm2
Hilpda,950.5564910273756,3.3514015868918174,0.8844785754629878,3.7891269272831147,0.00015117766149299553,0.019989495682044268,Hilpda
Rpa2,509.89015052113604,3.5947420206272205,0.9474186685920613,3.7942486672436906,0.00014809120215457028,0.019989495682044268,Rpa2
Itpa,2005.9643351574211,2.7910942035805295,0.7385728233829784,3.779037239410094,0.00015743588096448578,0.020530388572440203,Itpa
Dapk2,238.67238807068364,7.767284799665607,2.0580351641849393,3.7741263778365757,0.0001605693527117474,0.020692666936523305,Dapk2
Vipr2,5405.824795144745,-1.6460841701902131,0.4368215353001689,-3.7683219282196796,0.00016434866281370215,0.02069281899380797,Vipr2
St13,2123.462453683173,1.5427078364837798,0.4091811542464441,3.7702318898944904,0.00016309593314977488,0.02069281899380797,St13
Cfl1,16318.304260145534,1.7818647107074024,0.47360936278509913,3.762308878838457,0.00016835194967532372,0.020955991553903364,Cfl1
Cygb,2897.155740736018,2.0385856900710486,0.5453088019109218,3.7384059874464657,0.00018519071893768457,0.02279302399149884,Cygb
Zfp36l1,16528.94111230709,1.55573260288918,0.4181404117505751,3.7205985338178458,0.00019875117669765815,0.02419022655051275,Zfp36l1
Slc7a2,629.3142490038994,4.000648451444681,1.0778499906939645,3.71169317250622,0.00020587745943444693,0.024782216380713536,Slc7a2
Nsg1,825.1527759608263,4.0825039573007285,1.102525216895048,3.702866741495449,0.0002131768707097729,0.02538195045385709,Nsg1
Bcl9l,697.9411001926698,3.0135795196779953,0.8156786313990868,3.6945672029056036,0.00022026163512711277,0.025943504851423584,Bcl9l
Hexdc,139.27484327359218,5.825292916658044,1.5812425045481355,3.683997173047604,0.00022960478765372545,0.026756285574030945,Hexdc
Sco1,800.7095213901529,-3.452548009814935,0.9395559809676773,-3.674659179178499,0.00023816712325643423,0.026895697609803926,Sco1
Serpina3h,1106.8146301364222,3.7437951525788726,1.0173768038002322,3.6798511019659426,0.00023337017750192063,0.026895697609803926,Serpina3h
Asnsd1,482.13671883803784,3.8047453876235884,1.034832267057332,3.6766783456055463,0.00023629067569835177,0.026895697609803926,Asnsd1
2210016L21Rik,2091.491454238133,2.361664503903089,0.6439538897261988,3.6674434949173755,0.0002449876660688189,0.02738362136854941,2210016L21Rik
Mylip,294.6368081138903,4.540493205883711,1.2400097692806253,3.661659221054214,0.0002505870453984837,0.027726570659545362,Mylip
Cdt1,215.94051771835674,43.2808512266689,11.831027942078677,3.658249430105275,0.00025394384520843196,0.027817008804131637,Cdt1
Ndufa11,2821.0777975726273,1.4867493358998884,0.4071539501116018,3.6515655453971823,0.00026064655519356637,0.028268538273171544,Ndufa11
Slc35c2,1566.8205862327259,1.6466470829198154,0.4547777955133845,3.6207728239259502,0.00029372433950291193,0.031543690342302914,Slc35c2
BC026585,299.27988700050315,10.450901792541378,2.89108828446803,3.614867746753842,0.0003005009848976605,0.031958133869601675,BC026585
Csf1,893.1401791303203,2.6595137002427838,0.73624476164207,3.6122684177897395,0.0003035301392812955,0.03196989563160876,Csf1
Arrdc3,2952.6224647278405,-2.2027183325725352,0.6108508086969515,-3.6059841473752114,0.00031097212123183204,0.032441796342604655,Arrdc3
C230052I12Rik,295.0396696845478,5.347987825728468,1.4842016284162323,3.6032758106021077,0.00031423178371989876,0.032472593951582744,C230052I12Rik
Timp1,1446.6521433825385,4.506691011153545,1.2540004479237874,3.593851197274406,0.0003258259632949401,0.032602049543356444,Timp1
Ahnak,5883.335489560792,-1.5788058451921017,0.4392762821368607,-3.5941067373635476,0.00032550638546223395,0.032602049543356444,Ahnak
Entpd2,257.38865378414306,6.298519394049913,1.7553498204812914,3.5881847142713417,0.00033298835172628405,0.032602049543356444,Entpd2
Recql,322.3222670704435,4.140256415357257,1.1509088529303975,3.5973799357051632,0.00032143879104022037,0.032602049543356444,Recql
Fancl,99.09802160421728,8.87169846548716,2.472666233263366,3.5879078001475766,0.00033334211693042924,0.032602049543356444,Fancl
Irf1,3306.9107523856005,1.625893686764556,0.45286621950602,3.590229557280862,0.000330386865041699,0.032602049543356444,Irf1
Klhl24,1338.9926240714872,-2.2874173490848477,0.6385757132164429,-3.5820612994555523,0.00034089377389900016,0.033045578754775644,Klhl24
Tnfaip8,660.253329019538,3.7041075321128587,1.035329660416415,3.577708312367915,0.00034661994987731287,0.0333059204469832,Tnfaip8
Phb2,3415.4376909020766,2.1301487244841724,0.59746803718671,3.5652931904347147,0.0003634496611820183,0.03429650798257847,Phb2
2810047C21Rik1,110.49025018562675,9.02544187084099,2.5317526517092923,3.5648987529439475,0.0003639966727960917,0.03429650798257847,2810047C21Rik1
Dirc2,2666.3847318303624,-2.234648790976449,0.6271416511477896,-3.563228158880235,0.00036632202245405156,0.03429650798257847,Dirc2
Cbr3,2089.1871715786106,1.5535330522963522,0.43722550655252085,3.5531619931000913,0.00038062999546744063,0.03533407601991818,Cbr3
4930413G21Rik,203.88998435894,2.8845997810392006,0.8124710777805635,3.5504030357844796,0.0003846417990820511,0.0354064392197041,4930413G21Rik
Ppp1r7,699.0611642644864,3.057740465068506,0.8656714473146567,3.5322182273121334,0.0004120891316158629,0.036112194781761295,Ppp1r7
Gm4980,221.65777817814597,10.01960593461345,2.8285616605518875,3.542297159135821,0.0003966583557769471,0.036112194781761295,Gm4980
Gm608,153.53700890031962,4.0962683655281005,1.157454878503319,3.539030714376443,0.00040159912317262264,0.036112194781761295,Gm608
Zfp628,103.16055319099827,6.650106508723985,1.881641024998202,3.5342057387010573,0.000409002576388738,0.036112194781761295,Zfp628
Ubl7,2250.4007019406304,1.947905961214744,0.5506859889158842,3.5372353762795328,0.00040433914560970195,0.036112194781761295,Ubl7
Slc25a27,679.0955309865562,2.560093101102245,0.7242022974891175,3.5350524431893495,0.0004076942361678001,0.036112194781761295,Slc25a27
Psmb8,2773.6896716796864,2.434238713116544,0.6899222330233389,3.528279850396121,0.000418269703990713,0.03636290744058945,Psmb8
Kdm2b,93.04350975812696,8.779229326224119,2.5017668438019647,3.5092116389560193,0.00044943711919356627,0.038764836249183664,Kdm2b
Gjb5,281.7398120815807,9.044933320751262,2.5836598670049815,3.5008220068984115,0.00046382551770026423,0.03969331813194293,Gjb5
Nckipsd,354.59133227547835,4.3186799104440805,1.237144078019954,3.490846367187981,0.0004814930427630735,0.04088585108857913,Nckipsd
U2af1,1434.7357172839934,2.325504412360711,0.6672809758230068,3.485045275706377,0.0004920537752745507,0.04146120811044176,U2af1
Nufip2,3842.65445647031,-1.5267531230695155,0.4389997304815384,-3.477799682006231,0.0005055475781210305,0.04227303947128067,Nufip2
Ubxn4,3529.0655432023004,1.4384361283463472,0.4162324610956687,3.4558480243464977,0.0005485645181081784,0.04386113672523347,Ubxn4
Nat8,255.05570762782148,7.0163685117524714,2.027994184076615,3.4597577087959746,0.0005406616381894499,0.04386113672523347,Nat8
Adamts7,206.59298613443104,5.87666366700074,1.6999426377084912,3.456977627740683,0.0005462701986002359,0.04386113672523347,Adamts7
Crlf2,308.97367167793686,4.316158440997159,1.2477325866118025,3.4592015046410043,0.0005417794182461566,0.04386113672523347,Crlf2
Lipg,86.8734951964013,-4.332898752534602,1.251976377424349,-3.460847050044615,0.0005384786572527573,0.04386113672523347,Lipg
Puf60,7177.745427631974,1.324198448266918,0.38207195457982823,3.4658352501249774,0.0005285870711856192,0.04386113672523347,Puf60
Slc4a7,589.4641299979644,-5.334989002473375,1.5471595542234207,-3.44824745961719,0.0005642368357301644,0.04478732100426248,Slc4a7
Hmgcr,588.5679905822923,-2.468333187185683,0.7172456692352638,-3.4414054947413626,0.0005787005832272073,0.04528825861634799,Hmgcr
