,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
Serpinb1a,1354.7247878997598,8.234367169228411,1.2613295465794598,6.528323380324202,6.650997848565945e-11,7.004830934109653e-07,Serpinb1a
Ly6a,1909.6607201703628,6.296416745243081,1.0093753411990813,6.237933985749335,4.43387679914017e-10,2.3348795224272137e-06,Ly6a
Hist1h4i,348.3100616245917,7.6765378231255195,1.3651092361735595,5.623387213057818,1.8724903527551912e-08,6.573689465072558e-05,Hist1h4i
Ssbp4,5277.86713384514,1.6453661415509155,0.2966845638823035,5.545843437286619,2.9254050748036767e-08,7.702591561958081e-05,Ssbp4
Dnalc4,951.5857688030046,5.770916717064113,1.0663141992865954,5.412022761138392,6.231676559438173e-08,0.00013126403504800567,Dnalc4
Rhbg,373.09080666500665,-13.538666444838244,2.5381936883542005,-5.333976877712946,9.608476374545304e-08,0.00015109798787665664,Rhbg
Rem1,423.7875187680609,8.829385886000674,1.6578044130733818,5.325951491244973,1.0042593193473191e-07,0.00015109798787665664,Rem1
Tfe3,970.4417423668256,3.3042612270931215,0.6561161720856132,5.0360917283745374,4.7513293860433345e-07,0.000625512513672605,Tfe3
Gss,977.8781822308517,7.197473862446397,1.4542474762933406,4.949277189596149,7.44895974268511e-07,0.0008646194409926069,Gss
Hpgds,1180.113352118245,3.1091844658440686,0.6306251309852832,4.930321221081542,8.209451585573555e-07,0.0008646194409926069,Hpgds
Zfp212,848.0953563484636,5.464665271037393,1.1412014369581625,4.788519444562996,1.6801628615662429e-06,0.001485695318029244,Zfp212
Ddr1,1545.7057075335347,6.665922877214833,1.396302242753168,4.773982790481849,1.8061782303696464e-06,0.001485695318029244,Ddr1
Surf6,713.1478202534179,3.7038797254519458,0.776472530021666,4.770136202176522,1.8410139508522643e-06,0.001485695318029244,Surf6
Cep110,2500.0258027006194,2.3725706083546174,0.4988610260633018,4.755975080028713,1.9749083224847526e-06,0.001485695318029244,Cep110
Klra17,1073.6188585516343,8.606575444309634,1.8869070083436612,4.561208054372822,5.086015470812386e-06,0.0034030820485626105,Klra17
Ncdn,962.5536624218969,10.250311100128066,2.255284189276942,4.545019713641667,5.493011282336155e-06,0.0034030820485626105,Ncdn
Pcolce,118.90554483739592,-9.16088857792107,2.01035811385031,-4.556844133792564,5.1927928725551344e-06,0.0034030820485626105,Pcolce
Elp4,509.9049829924782,6.925132155653405,1.6074817234799978,4.308062763327322,1.6469065682371113e-05,0.007282190774553128,Elp4
Ncoa3,7778.531145315426,-1.712755238979743,0.3950378878244321,-4.335673341137719,1.4531460804528204e-05,0.007282190774553128,Ncoa3
Fabp5,882.8992488980955,7.498859951114305,1.7410922168895187,4.3069860851546995,1.654940163548603e-05,0.007282190774553128,Fabp5
C1qb,1798.447822243057,7.900279835106624,1.8165582004005671,4.349037555397093,1.3673629711877346e-05,0.007282190774553128,C1qb
Tcirg1,3484.1427939029263,3.207897892606419,0.7421254566018042,4.322581666037165,1.5421397175029776e-05,0.007282190774553128,Tcirg1
Rhob,201.14906897627282,6.812162137033863,1.5744367098019558,4.32672974062625,1.5133946093962664e-05,0.007282190774553128,Rhob
Tmem43,1181.0568017142193,4.07528647461349,0.9463359013235223,4.30638472968625,1.659443397163645e-05,0.007282190774553128,Tmem43
Thap1,328.4753371865485,9.977984378168372,2.3228160791519055,4.295641169236043,1.74189146539036e-05,0.0073382403653965075,Thap1
Cd22,483.36144029919416,7.6075603036750055,1.7844832578228331,4.263172697376071,2.015446305998565e-05,0.008127114326696775,Cd22
Dusp28,431.1850202687406,9.087603553142927,2.135369854677982,4.255751542635388,2.083479745735026e-05,0.008127114326696775,Dusp28
Fdxacb1,409.7901638823093,10.29791609881246,2.4597175709216375,4.186625416085437,2.8313251539978708e-05,0.010649827329251993,Fdxacb1
Qrsl1,792.648165895213,5.064942514761125,1.2125906741439563,4.176959812375916,2.954311966107496e-05,0.010729246078291085,Qrsl1
BC032203,411.26691812280734,4.771136802587741,1.154029652850559,4.1343277365556395,3.559951565686501e-05,0.012497803296603409,BC032203
Wdr86,1199.6755750616699,2.6591111602149176,0.6533328347165365,4.0700712086032445,4.6998770036744566e-05,0.014882665832976009,Wdr86
Mtg1,991.7729864430661,4.4336621434126124,1.086964872633962,4.078937834181196,4.524193172899404e-05,0.014882665832976009,Mtg1
4930444A02Rik,182.5756265956938,7.502365407846246,1.8421929727732143,4.072518741916748,4.650745653928933e-05,0.014882665832976009,4930444A02Rik
Uba3,413.7453004606368,5.286927816145579,1.300616828352886,4.064938805106033,4.804506630470797e-05,0.014882665832976009,Uba3
Dph5,813.4915644770712,2.168523843388848,0.5353087611047529,4.050977680457758,5.100407301637211e-05,0.015347854200240887,Dph5
Cfl1,112424.47364247058,1.5717589863295156,0.3893688655938197,4.036683785521611,5.421206002452802e-05,0.01563404458057379,Cfl1
Syvn1,1575.5031383879752,3.449115059797265,0.8550916244514124,4.033620446241722,5.4924007736539136e-05,0.01563404458057379,Syvn1
Klrb1a,90.86353040624809,-10.864599631108533,2.710331894247309,-4.00858642226389,6.108328495198333e-05,0.016929714660902324,Klrb1a
Klk8,717.3071142533003,11.105496014963684,2.7894459423682014,3.9812551468680804,6.855231469170205e-05,0.01760958483739039,Klk8
Cdc20,830.873373818308,10.045244845467861,2.5226059695378478,3.9820903330805137,6.83118050538891e-05,0.01760958483739039,Cdc20
Smpd2,855.2310109612921,11.359284931635358,2.8529950900069934,3.9815297865120107,6.847313808868249e-05,0.01760958483739039,Smpd2
Samd5,87.5255012428925,-10.667654056658236,2.694206384477188,-3.9594791691239717,7.511339549248799e-05,0.01883557812683056,Samd5
Mrpl38,1983.7102391402836,2.4034276402729127,0.6105251352481157,3.936656333233793,8.262480111840604e-05,0.020237311753001218,Mrpl38
Gga1,1782.0268891635046,2.538208403839394,0.646620632654076,3.9253439739793525,8.660589151663898e-05,0.020730301123937315,Gga1
Trpm2,347.5311946188119,8.295460311605728,2.1199018057570096,3.9131342258767723,9.110585922735859e-05,0.021322820208500903,Trpm2
Dhrs3,8153.577543845949,-1.1373078236168603,0.2910853337909696,-3.9071285688119515,9.339946120367014e-05,0.02138441576950117,Dhrs3
Nudt22,1453.7169208346506,2.2012806814813617,0.5665565265242066,3.8853681467339167,0.00010217493598226911,0.02230548010054163,Nudt22
Star,179.97791164354,-10.929005523769591,2.829576089766815,-3.862417965466427,0.00011227027093715857,0.02230548010054163,Star
Car1,131.16195084534823,-12.220618083569104,3.1744074554889234,-3.8497320381598206,0.00011824711696144686,0.02230548010054163,Car1
Eif2b4,2026.5814523583679,3.526962069749722,0.9106280638132586,3.873109351561772,0.00010745558445041601,0.02230548010054163,Eif2b4
Ppp1r36,269.76947502976657,-13.117293319200138,3.4079745486781827,-3.8489997891233703,0.00011860110953573217,0.02230548010054163,Ppp1r36
Atg4b,2061.9230644366266,2.7644084594548683,0.7129525611010861,3.877408694886386,0.00010557492822931338,0.02230548010054163,Atg4b
Snrpc,2140.3547361773667,2.60403617750137,0.6710583859759015,3.8804912238961036,0.00010424570669164725,0.02230548010054163,Snrpc
Erf,535.458854941734,5.860065180066476,1.5172368861566454,3.8623271247450153,0.00011231203811246549,0.02230548010054163,Erf
Shc1,2322.556851713189,2.365536499375695,0.6141465854139959,3.851745748583928,0.00011727875539969676,0.02230548010054163,Shc1
Ocstamp,739.2046325838659,11.1489347429657,2.8836254801919026,3.8662908271374232,0.00011050315488695386,0.02230548010054163,Ocstamp
Atad3a,1169.365807108042,2.113520179703211,0.5574336062243573,3.791519126409748,0.00014972861482608318,0.025321685852554586,Atad3a
Heatr7a,717.8500198392645,5.704895400689957,1.5035109118494916,3.7943824389490324,0.00014801138939918285,0.025321685852554586,Heatr7a
Fermt2,68.17448986152877,-9.609172855087246,2.5384652131677514,-3.785426250965227,0.00015344533665899096,0.025321685852554586,Fermt2
Ttll10,153.50756434654744,-12.470753743277475,3.284108989411795,-3.7973020333625005,0.00014627951506044712,0.025321685852554586,Ttll10
1110038F14Rik,1709.927452739287,1.8469593583419945,0.485706894562298,3.802621249604475,0.00014317315543608525,0.025321685852554586,1110038F14Rik
Snrk,1579.5851347344187,2.7698672889893756,0.7274996596430362,3.8073794980859126,0.00014044713630012012,0.025321685852554586,Snrk
Kdelc1,315.69041828095317,5.437775660411475,1.436765421415615,3.7847345010946523,0.0001538727586938372,0.025321685852554586,Kdelc1
Rnf26,741.3772694619905,5.10436944982909,1.3414509360153863,3.805110804120042,0.0001417407247028999,0.025321685852554586,Rnf26
Pde2a,164.45400470985078,-5.863406274420527,1.5550818579000432,-3.770480791498895,0.00016293334372643838,0.02640021501733614,Pde2a
Slc30a1,343.942260334893,7.109893356571625,1.8925447890399802,3.7567900098037934,0.00017210679666792718,0.02698181787574458,Slc30a1
Leng9,802.8371840850747,5.975744357309352,1.5907761698861709,3.756496024036462,0.00017230900771732916,0.02698181787574458,Leng9
Cst7,498.3906465023483,10.580211212544105,2.8185709289340846,3.7537502086368586,0.00017420847090302236,0.02698181787574458,Cst7
Dok1,2192.2375185255482,2.4071996987654227,0.6437702639548092,3.73922163471409,0.00018459092754219135,0.027803281382224914,Dok1
Ddx3y,879.8476243451644,11.400300823809193,3.0494379485612613,3.738492475043772,0.00018512703300998132,0.027803281382224914,Ddx3y
2310047M10Rik,861.7495589876332,3.005749301804024,0.804670281932371,3.7353800299246593,0.00018743191968647636,0.027803281382224914,2310047M10Rik
Safb,1090.5354868541046,1.937675103113938,0.5204597980070087,3.72300629277008,0.00019686461333270753,0.028796918161389937,Safb
Trim27,3659.2851602099267,1.3418258980027131,0.36176727549383636,3.709085892777426,0.00020800886090100264,0.03001026469875835,Trim27
