,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
Clp1,315.61458932407874,-10.54920897465649,1.474616811939868,-7.1538645763701405,8.436830184159962e-13,6.3883678154459225e-09,Clp1
Slc25a45,490.777203272142,5.907008863604524,0.871013318952129,6.781766403653782,1.1871531880749643e-11,4.494561970051815e-08,Slc25a45
Elp2,217.12451110726397,9.088484172833429,1.3826446423939676,6.573261049272396,4.92250432903755e-11,1.2424400926490777e-07,Elp2
Ikbke,541.5495858082195,11.245456337892346,1.7806357092248426,6.315416611962583,2.694346393600326e-10,5.075377800045933e-07,Ikbke
Tjap1,148.4928476831837,-10.526455153746111,1.6774470768043295,-6.275283017452835,3.489988755434248e-10,5.075377800045933e-07,Tjap1
AI987944,381.8364439798892,10.07911992862379,1.6118382093538641,6.253183396529727,4.021693977849392e-10,5.075377800045933e-07,AI987944
Itpkb,128.88259361486638,-10.321102282470303,1.6679613816750563,-6.187854464655111,6.098859435804288e-10,6.597223378272867e-07,Itpkb
Cldn20,196.0642117947979,-11.657188206206168,2.024743973800649,-5.757364070245607,8.543751609009184e-09,8.086660897927192e-06,Cldn20
Rtcd1,225.5730190469531,8.575495131633852,1.4976318055928093,5.726037000288869,1.0280380870529124e-08,8.127089550033242e-06,Rtcd1
Taf8,208.36669941653946,-11.010958959101995,1.9254243981101997,-5.718717894044154,1.0733081814623932e-08,8.127089550033242e-06,Taf8
Keap1,419.1303430572205,7.779064400486183,1.3987372033791257,5.561491023255266,2.674794402191968e-08,1.8412312012179618e-05,Keap1
Edc4,435.5083327834354,10.297237829433326,1.8939941245526504,5.436784463027556,5.425069738318704e-08,3.423219004879102e-05,Edc4
Rdh13,149.42061888648973,9.420902864934432,1.7561842680949282,5.364415930655175,8.121157296439705e-08,4.7302617729724186e-05,Rdh13
Phka2,335.8967405154275,4.7347894132177695,0.88635338736642,5.341875464915891,9.198984581315746e-08,4.862436616888651e-05,Phka2
Il27,369.96941564984456,11.676523740428298,2.1940930189072105,5.321799777770545,1.027456231777845e-07,4.862436616888651e-05,Il27
Stat2,225.37495094339369,8.165087583922888,1.5323957441439395,5.328315231313989,9.912796934778414e-08,4.862436616888651e-05,Stat2
Rtf1,401.24764542145164,3.7737435170646076,0.7181994739686409,5.254450405277493,1.4846714473316278e-07,6.612901293644169e-05,Rtf1
Ankra2,376.21221303189344,3.739846048127533,0.7153936096800294,5.227676061853888,1.716539143706277e-07,7.220907997857739e-05,Ankra2
Osm,167.9909107954395,-9.309839940513703,1.7904616612240938,-5.199686841743821,1.9962457036579122e-07,7.955564456893533e-05,Osm
Vasp,1047.0797761636866,3.070832168529736,0.6012546113385111,5.107373998668317,3.266667837317478e-07,0.00012367604432083972,Vasp
