,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
Igfbp7,13226.527748564584,4.9621165873788895,0.6283115559877919,7.8975414984653,2.8445831459204098e-15,2.2258863116827205e-11,Igfbp7
Cd300lg,1670.103952633349,11.173465951212119,1.4995992157930147,7.450968121041189,9.265775216790295e-14,2.922883103225048e-10,Cd300lg
Dag1,980.1372904654246,8.759369314153808,1.1856725064340925,7.387680212386464,1.4941255479744654e-13,2.922883103225048e-10,Dag1
Myo10,958.3804424558656,9.645540873227143,1.3005841059623504,7.416314584353657,1.204242713280635e-13,2.922883103225048e-10,Myo10
Hspa4l,570.1860320246761,9.909625310068725,1.5090885070620326,6.566629633513854,5.146684340648465e-11,8.054560993114848e-08,Hspa4l
Gm7609,526.752145725038,9.515478798681238,1.4627907591355875,6.505017029437796,7.768457918779508e-11,1.0131363869074943e-07,Gm7609
Caprin1,616.6607170728295,6.22938940132191,1.0189770184552218,6.11337575676213,9.754532060055843e-10,1.0904173338562426e-06,Caprin1
1810011O10Rik,1106.8855584325818,11.674608272181136,1.919993582428587,6.080545465893695,1.197743824829878e-09,1.1715431786617244e-06,1810011O10Rik
N4bp1,506.32303260216275,7.224993349431843,1.2083093550529713,5.979423497151609,2.239286961339729e-09,1.946935608053709e-06,N4bp1
Csnk1g3,423.99754951924456,6.755477762991667,1.1403022421648763,5.924287011982296,3.1365523529722326e-09,2.454352216200772e-06,Csnk1g3
Gbf1,862.7227778324483,8.90043543944718,1.5140417399416721,5.878593175238396,4.137678832436279e-09,2.9433942603467164e-06,Gbf1
Ralgds,637.214253957082,5.460241718275979,0.9599022207732933,5.68833116551937,1.2828685857023386e-08,8.365372235934e-06,Ralgds
Rabep2,1401.3483966141596,6.151245317194034,1.0897826725551252,5.644469738880788,1.6569112018284517e-08,9.973330887928948e-06,Rabep2
Aqp1,14310.176089583227,2.949477850734947,0.5242161188085108,5.626453946969059,1.839518681201494e-08,1.0281595486001208e-05,Aqp1
Trmt2a,770.1527198161557,6.735464409393916,1.2008912127314437,5.608721537793593,2.0382666776408588e-08,1.063295783502648e-05,Trmt2a
Rab19,411.857614927746,-13.018712338018426,2.3477121236947913,-5.545276274132703,2.934903865223104e-08,1.4353514215856742e-05,Rab19
Slc6a6,7116.695611362949,4.16823437838798,0.7584473864781717,5.495746247795848,3.890616198962164e-08,1.7287239134619484e-05,Slc6a6
Lrg1,2254.1913226397,11.524706050389474,2.098496560094545,5.491887034530209,3.976617308922054e-08,1.7287239134619484e-05,Lrg1
Pcm1,635.3450659107792,7.968302877643033,1.4679146474799525,5.428314848770428,5.68886194444677e-08,2.34291287975242e-05,Pcm1
Npr3,397.09393329136765,8.014691877315109,1.5009135467387693,5.339875767481528,9.301029560639946e-08,3.6390278156003787e-05,Npr3
Hlx,894.2755696813333,6.928000860126351,1.3110617218152014,5.284267509949373,1.2620871520369685e-07,4.7027771260425136e-05,Hlx
Tmcc2,862.829283216845,5.873881450296638,1.1282585982218098,5.206148182299837,1.928007052119946e-07,6.8575705376539e-05,Tmcc2
Lrch3,307.1225403221451,8.154754030071476,1.570545150179605,5.19230792514237,2.077031058816907e-07,7.066420884887956e-05,Lrch3
Dhrsx,299.55101704549696,9.03206270976538,1.752419363504489,5.154053246537438,2.5491550847955085e-07,8.311307724385357e-05,Dhrsx
Dync1i2,1087.7831960910175,3.1949771341379387,0.6227683503284784,5.130281801335523,2.8930874059054896e-07,9.055363580484183e-05,Dync1i2
Vwa1,1074.690344658645,12.959302918800438,2.5314472325335893,5.119325717024791,3.0662998448254205e-07,9.228383186830351e-05,Vwa1
Clip1,718.4401242537821,5.5674826606500325,1.1179259327374866,4.980189203605673,6.352213964731713e-07,0.00018409657138528023,Clip1
Sbf2,599.606137920646,12.1174334187229,2.4557634024367414,4.93428373706495,8.044542411824263e-07,0.0002248162299018745,Sbf2
Rasgrp3,609.366463729685,8.362774099212475,1.7010754409413456,4.916168852913814,8.82542841397457e-07,0.00023813440461845176,Rasgrp3
Ctbp1,1830.3618799226522,3.50479913594858,0.7200440850912527,4.867478545434353,1.1303109799685677e-06,0.00029482278060846803,Ctbp1
Btbd1,675.9928138350912,5.529096174235088,1.1436922064011414,4.834426730626683,1.3352987371356906e-06,0.0003370552457447348,Btbd1
Ipo13,330.16918292476805,5.868257189823857,1.2366760746385854,4.745185348183303,2.0831549882667976e-06,0.0005093964932246153,Ipo13
Tspan18,1434.2156361504346,4.685788542633812,0.9926720497075551,4.720379247118183,2.3540532368055358e-06,0.0005581959569091915,Tspan18
Rps29,1740.0076355186072,-3.561675479209655,0.7743398075968377,-4.599628540683332,4.232449673031571e-06,0.0008951059105803255,Rps29
Smarcd2,596.1119565661141,3.723322862523776,0.8078408008023651,4.608980951229117,4.04647400526127e-06,0.0008951059105803255,Smarcd2
Mlph,1018.3143933643896,9.974710038318685,2.160344207010533,4.617185541984353,3.889794646962834e-06,0.0008951059105803255,Mlph
Adcy4,4299.300587993585,2.596383399807052,0.5639119188208703,4.604235720422514,4.13983354610715e-06,0.0008951059105803255,Adcy4
Slc8a1,417.95683182425006,5.200189577044091,1.1337016807311098,4.586911764733871,4.498506877544641e-06,0.00092633727149439,Slc8a1
Polr2a,434.42385898851165,4.9676554206643235,1.08909565174074,4.561266416521217,5.084601801171234e-06,0.0010201797203632026,Polr2a
BC006779,188.53222684781494,7.849247867682604,1.7255917218533072,4.548728281596305,5.397107568173986e-06,0.001055809168024036,BC006779
Crat,453.26438807955384,11.7137223335678,2.5947002063655167,4.514480056243416,6.347229465206145e-06,0.001211391965005807,Crat
4632428N05Rik,1001.0693461466917,4.113042025364983,0.914282143221468,4.498657286330348,6.8383993488794805e-06,0.0012161471569314076,4632428N05Rik
Secisbp2,526.6139001875584,11.929922919505545,2.646117953174673,4.508462257017928,6.529918240650467e-06,0.0012161471569314076,Secisbp2
Nhej1,285.48369085649756,-12.489732963278403,2.7758505661016275,-4.499425551145154,6.813733687706683e-06,0.0012161471569314076,Nhej1
Slco3a1,606.973701523093,6.764463842927768,1.506436510112647,4.490374335405574,7.109811142708871e-06,0.001236317159815487,Slco3a1
Zfp276,226.5952904136656,-12.156609217274054,2.73100178002115,-4.4513369805199865,8.533730379132364e-06,0.0013627844942185868,Zfp276
4632411B12Rik,558.0884019894448,6.802627011949615,1.5271594598010751,4.454431374727372,8.411582782517724e-06,0.0013627844942185868,4632411B12Rik
Rbm6,521.9151336590169,4.245498773993379,0.9524678578491165,4.457366974651151,8.297249343384094e-06,0.0013627844942185868,Rbm6
Trp53i11,1022.9978879087033,6.258924437270907,1.4040625275172192,4.4577248623951675,8.283412628028839e-06,0.0013627844942185868,Trp53i11
Cnot2,901.448423794324,5.276519687592586,1.1891607838442861,4.437179361511401,9.114534397853934e-06,0.0014264246332641407,Cnot2
Lrp10,1823.0390752843457,4.150583163577203,0.9375704049257563,4.426956249654527,9.557210739549379e-06,0.001466375961509292,Lrp10
Rtkn,220.93570076504423,-12.120118441076059,2.7497346476841438,-4.407741107413311,1.0445429393261544e-05,0.0015251279987888821,Rtkn
Ythdf1,252.8039365788034,8.385687885240088,1.90493919330214,4.402076409958166,1.0721978031350102e-05,0.0015251279987888821,Ythdf1
Cops2,687.7382007861653,5.309727430754308,1.2072469258949983,4.398211597696069,1.0914654048840562e-05,0.0015251279987888821,Cops2
Msh2,476.1273904217938,6.203088318652502,1.4091213959671955,4.40209646692279,1.0720986636237151e-05,0.0015251279987888821,Msh2
Tmx3,563.0545733427175,6.54286798367065,1.4831347608692986,4.411512801328807,1.0265088409184454e-05,0.0015251279987888821,Tmx3
Ociad2,233.56509013451887,-12.200184050051353,2.778797143845502,-4.3904550848817445,1.1311367883516635e-05,0.0015466075627791956,Ociad2
Tgfb2,403.4589300073985,11.545750731773127,2.6314825183876387,4.387546050979444,1.1463672669801066e-05,0.0015466075627791956,Tgfb2
Fem1b,487.05343970801533,11.817520234861586,2.700986769746658,4.3752603186464425,1.2128764635567126e-05,0.0016086031063273349,Fem1b
Xpo7,333.150611139487,11.269653699259234,2.5821950050764304,4.3643697230859075,1.2748979884674812e-05,0.0016626794599596732,Xpo7
Banp,352.802461157308,6.258797216180276,1.4389385538764567,4.349593107585634,1.363903659307268e-05,0.0017495977268982578,Banp
Plcb4,873.0274809257476,4.632046662567018,1.073265033407185,4.315846057019236,1.589927572522082e-05,0.0020066424604814987,Plcb4
Zfp142,344.34615946057176,11.317309871664534,2.62887032107771,4.305008802041245,1.669790963242741e-05,0.0020429535444758794,Zfp142
Rbm14,1023.2951295399906,4.404256753970174,1.023089439885342,4.304859948963759,1.6709140811048726e-05,0.0020429535444758794,Rbm14
Mgat2,2183.1014541123473,2.7802588653730944,0.6468604097532668,4.298081662523718,1.7228269339056637e-05,0.002074018578124895,Mgat2
Slc10a7,265.2599508712099,9.270997945613132,2.1705145808762616,4.271336404416286,1.9430504138202418e-05,0.002303692346688393,Slc10a7
Rps28,1713.7043325641753,-3.25382792137683,0.7625090591364232,-4.267264608058481,1.9788439339205113e-05,0.002311112504914627,Rps28
Mid2,362.37762071491903,9.69035244706042,2.2749034680496334,4.259676326120489,2.0472314517095927e-05,0.002355821486709936,Mid2
Mt1,1034.759333011106,-6.116502848306847,1.4411992238920628,-4.244037012307562,2.1953411856178222e-05,0.0024896441706462984,Mt1
Rpl37a,3020.554177637527,-2.4306664077844107,0.5744402818249124,-4.231364834065155,2.3227756107014947e-05,0.002596531307677028,Rpl37a
Fbxl5,582.2862399898347,5.736395741034295,1.3577639243669675,4.224884486976471,2.390633702743075e-05,0.0025981539894395222,Fbxl5
Fam101b,475.96434908070097,6.918629865737104,1.6374488909760818,4.225249352126597,2.386763482084715e-05,0.0025981539894395222,Fam101b
Spock2,614.3919105714391,10.850319385680374,2.5766406220239237,4.2110332705837585,2.5420530072655302e-05,0.002707780004183351,Spock2
Lysmd3,364.8005386864566,5.981471107658268,1.420985896284748,4.209381052477142,2.5607120806334565e-05,0.002707780004183351,Lysmd3
Crlf3,486.8953049882933,5.813613982626623,1.3821967576240402,4.206068311591233,2.598517186141868e-05,0.002711119597541349,Crlf3
Erc1,266.95392849524865,5.972222725929634,1.4210982217035808,4.202540425932184,2.6393609387930253e-05,0.002717499913954661,Erc1
Gas8,374.56311799177274,11.43838874641952,2.73596772570031,4.180746958004302,2.90553058301502e-05,0.0029148431810375043,Gas8
Ifit2,527.0177002397983,11.931155446326606,2.8526624808540046,4.182463059126,2.883678836737773e-05,0.0029148431810375043,Ifit2
Ttf1,360.01070836816416,6.752728337716627,1.6195362493080918,4.1695444239680155,3.052091223111767e-05,0.0029758582274029568,Ttf1
Dhx16,145.7774597557066,6.556100978224207,1.5731735265050961,4.167436629059605,3.0804411044043385e-05,0.0029758582274029568,Dhx16
Arap2,298.0200258391534,8.607064685384342,2.064549205680187,4.168980163661759,3.0596561349578295e-05,0.0029758582274029568,Arap2
Tdp1,559.2293157300563,9.080371993576957,2.1890149669084007,4.148154366619699,3.3516638284497924e-05,0.0031222344592404315,Tdp1
Trim41,315.80865614679044,9.488182454118684,2.287223465653814,4.1483408143534595,3.348935877464085e-05,0.0031222344592404315,Trim41
