,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
Zfp12,213.94953680654908,-9.01445442987759,1.2994767159175005,-6.936988034843625,4.005477384210678e-12,3.983046710859098e-08,Zfp12
Fiz1,240.94352827576637,-10.458816307415653,1.6948850267051054,-6.170811673136217,6.794030734219461e-10,3.377992081053916e-06,Fiz1
Pip5k1c,246.20678347798372,-8.847652707111209,1.4576020643610363,-6.070005609514364,1.2790578226482875e-09,4.239650329471524e-06,Pip5k1c
Pom121,215.52512727780882,-6.774677727470205,1.1330111320284477,-5.979356721183659,2.240205023137841e-09,5.569149687520672e-06,Pom121
Cstf1,202.92120411225625,-8.402062996962767,1.4359664437611919,-5.851155529063374,4.88169460834517e-09,9.708714237076874e-06,Cstf1
Sco1,162.84075294312655,-7.108244759422405,1.2387475222855593,-5.738251444739354,9.565902273733296e-09,1.5853888701667316e-05,Sco1
Parp2,202.0013957455281,-7.820236953213636,1.3722109986773068,-5.699004716294849,1.205088922178559e-08,1.711914891734799e-05,Parp2
Samd4,122.33813211710427,-7.668590149232749,1.3902263097835574,-5.516073243087064,3.466578324275319e-08,3.4404760937639205e-05,Samd4
Ehd1,1065.8910280743369,4.154519330468401,0.7507309815802524,5.533965471523952,3.1307063032305215e-08,3.4404760937639205e-05,Ehd1
Tfip11,271.9417979362227,-6.726530979315984,1.2125019858117,-5.5476453300923545,2.8954246560493075e-08,3.4404760937639205e-05,Tfip11
Hectd3,231.71621670248834,-10.113955870086171,1.839023949306683,-5.499632494671513,3.8058363869069915e-08,3.4404760937639205e-05,Hectd3
Cfl1,6048.89092079783,2.0373244193687188,0.38247066568592647,5.32674686492613,9.998735546466161e-08,5.3904355951421364e-05,Cfl1
Phlda3,474.905637830854,8.087213356808785,1.517247561888775,5.330187083471903,9.811164488040193e-08,5.3904355951421364e-05,Phlda3
Ctf1,189.88696320987484,-10.944267512881066,2.0538829118618533,-5.32857420920847,9.898675196542754e-08,5.3904355951421364e-05,Ctf1
Gorasp1,178.2513020643346,-7.441830369476541,1.381640812715613,-5.386226507633077,7.195227764562766e-08,5.3904355951421364e-05,Gorasp1
Cfb,242.49871235217984,10.078890606336753,1.8940445525413818,5.321358778394705,1.0299504857974718e-07,5.3904355951421364e-05,Cfb
Rnf139,550.2397784619758,-4.344033114517125,0.813038173319342,-5.342963291356915,9.143928630377012e-08,5.3904355951421364e-05,Rnf139
Fam13a,337.0230070650533,-11.76909841266254,2.204422007762911,-5.338859062020545,9.353331624949538e-08,5.3904355951421364e-05,Fam13a
Glg1,615.8008335651112,-3.36283782225608,0.6309251789134348,-5.330010490384112,9.820709376349837e-08,5.3904355951421364e-05,Glg1
Ankmy2,341.7753372930737,-3.398526586545716,0.6498094135868484,-5.230035938978431,1.694770895020562e-07,8.025143704802128e-05,Ankmy2
Ppm1h,872.9833446945175,-2.9905679455680767,0.5709579828426566,-5.237807396402077,1.6249550896076739e-07,8.025143704802128e-05,Ppm1h
Poll,197.15765724315983,-10.997439866250463,2.116947914324255,-5.1949506134925025,2.0477419399776912e-07,9.255793568699165e-05,Poll
Jag1,1051.9384057127857,-2.5724717225057625,0.4969298787085513,-5.176729821904136,2.2580884891104986e-07,9.762796493789042e-05,Jag1
Eif4ebp1,1053.7019119576523,2.8961983299434215,0.5636434186218063,5.13835207554639,2.771582411400152e-07,0.00011440677212976203,Eif4ebp1
Tmem87a,166.58067245764056,-7.01994371939211,1.3680424323012117,-5.131378642681222,2.8762764513717325e-07,0.00011440677212976203,Tmem87a
Atf2,236.289051108303,-5.631088025776263,1.1040887860371225,-5.10021304173171,3.392713884195481e-07,0.00012975825717092255,Atf2
B2m,11822.794811989561,2.089809644458857,0.4108316859621458,5.086778152382855,3.6419742984715924e-07,0.00013413256453333894,B2m
Edc4,128.95245614065314,-9.559481293742582,1.8866513060910342,-5.066904129491176,4.0433779319519686e-07,0.00014359767912617993,Edc4
Atxn1,967.8511222377605,-2.2123687069431015,0.4428032046874914,-4.996279799972275,5.844684268724337e-07,0.00020041220816618898,Atxn1
Slc25a22,79.01099986903515,-6.496794295245623,1.3059179186203769,-4.974887167571063,6.528565587208832e-07,0.00021078389030192876,Slc25a22
Trappc9,228.2438528685143,-6.938867802934186,1.3951317447156262,-4.973629070671426,6.571098752373081e-07,0.00021078389030192876,Trappc9
Hexdc,116.48931840164883,-8.178526572375581,1.659219808529902,-4.929139906798666,8.259241455809978e-07,0.00025665592823929505,Hexdc
Trim41,169.674536644507,-6.715213704724491,1.367696132513357,-4.909872555085922,9.113560242231812e-07,0.00027462194863258526,Trim41
Gne,336.931520494465,-6.272729906731068,1.2839931438244276,-4.8853297518766166,1.0325589443874424e-06,0.0003019931218526097,Gne
Fam116a,150.43804326983908,-7.805299189483509,1.6012072097301333,-4.87463405239039,1.0901034125999001e-06,0.0003097139524255259,Fam116a
Npat,223.65758326255263,-6.4558142734254425,1.3294452981939087,-4.856020990255004,1.19768011463052e-06,0.0003308258627746081,Npat
Tgfbr3,150.23996725480512,-9.290350329055228,1.9495951299687668,-4.765271612677891,1.8859941642730987e-06,0.0004935348939350446,Tgfbr3
Zmym4,162.2032364946212,-5.120810853774594,1.0739040193902318,-4.768406450962179,1.8568886249383886e-06,0.0004935348939350446,Zmym4
