,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
D5Ertd605e,24.62172898033354,43.2808512266689,3.3156282244944517,13.053589937173406,6.062207441319104e-39,5.495997266299899e-35,D5Ertd605e
Dpp8,369.9446907883415,8.68437094954895,1.4307406331911778,6.069842952722325,1.280353937567514e-09,5.8038443989935406e-06,Dpp8
Pvrl3,273.8658109998254,8.300547969374422,1.654820680693291,5.015980321140831,5.276372951754517e-07,0.0012197373214183202,Pvrl3
Stxbp1,1055.9504349766614,5.242856856415327,1.0460225665612606,5.012183316131428,5.381589770210987e-07,0.0012197373214183202,Stxbp1
Zfp608,327.6844914104511,8.052309911807773,1.625330617014932,4.954259661087647,7.260619635543982e-07,0.0013164955523168348,Zfp608
Nipbl,1076.932581162009,4.931144312964221,1.0100243006571186,4.882203635849192,1.0490683672135857e-06,0.0015851423028597279,Nipbl
Zcchc11,242.58445858360506,9.145760531087056,1.9219788269198932,4.758512634472557,1.9502468736074993e-06,0.0022101172695156985,Zcchc11
Ppm1m,1117.6353973465352,11.28360716360315,2.3627125667881135,4.775700320984095,1.790829182437151e-06,0.0022101172695156985,Ppm1m
Cdc23,287.2568031386162,9.390425028861081,1.983504229409908,4.734260149097202,2.1985558765689097e-06,0.0022146786196637486,Cdc23
Gak,435.02642266627515,5.395921227090052,1.1729622743610348,4.600251299667291,4.219815564311435e-06,0.003477895264186134,Gak
Pnp2,43.16883068257438,-9.708084084990645,2.101881816051103,-4.618758300706767,3.860432092863717e-06,0.003477895264186134,Pnp2
A630007B06Rik,626.7112724071997,10.450360645552006,2.3270206556151947,4.490875755801679,7.0930920333166405e-06,0.005358831031170722,A630007B06Rik
Tmem131,620.2570401144461,10.506362447571439,2.3667714865130174,4.439111467854695,9.033102624736989e-06,0.0060451055786910615,Tmem131
Dmap1,362.151116689932,9.72802412460434,2.194936869479732,4.432029121142871,9.335040602434907e-06,0.0060451055786910615,Dmap1
Nr4a2,1101.590974900149,12.752695320407495,2.907024228295811,4.386855532980379,1.1500111717312818e-05,0.0061329419311269414,Nr4a2
Fam107b,107.59820947133855,-11.402589095062924,2.593657270047232,-4.396336102979125,1.1009341900434628e-05,0.0061329419311269414,Fam107b
Pcyt2,793.6066481452234,9.921793442499666,2.2498706524514267,4.409939492161038,1.0339950654026066e-05,0.0061329419311269414,Pcyt2
Zbtb43,93.98670786465414,-11.206968188369679,2.6089995116776383,-4.295504134135839,1.7429678886441362e-05,0.008316708883393547,Zbtb43
Syne2,1262.6538135639084,4.991537144454949,1.160753897586977,4.300254476708251,1.706020904879792e-05,0.008316708883393547,Syne2
Rrp1b,785.8857508967787,10.84971803757362,2.568954729316587,4.223397911126267,2.4064640152745295e-05,0.010908501381239442,Rrp1b
2810055F11Rik,344.3902971208118,9.656562911276636,2.3015800817891914,4.19562325364315,2.7212225521420338e-05,0.011747906503676037,2810055F11Rik
6820431F20Rik,74.59144573697378,4.8822175602167395,1.1765697240864967,4.149535263630341,3.331509641694774e-05,0.01372884836891128,6820431F20Rik
4931431C16Rik,160.77452962256115,-12.343749674158751,2.985066939305065,-4.135166790273863,3.5469692698539766e-05,0.013981227565433109,4931431C16Rik
Hdac4,373.63859155231853,7.328822530713244,1.776717509856234,4.124922780384074,3.708591627865011e-05,0.014009204874260078,Hdac4
Celf2,415.6792452442769,6.390385656225389,1.5609135862651045,4.094003481330484,4.239879392700883e-05,0.015375498629690482,Celf2
Syt11,584.1412682647416,9.481509670208636,2.3298768971997483,4.069532463970242,4.710757558201204e-05,0.016426049239481582,Syt11
Pign,61.73385438895709,-10.248509019216643,2.5294136877142828,-4.051733043509288,5.0839653258868256e-05,0.01707082579425554,Pign
Nup35,359.78751566798445,8.778458868635544,2.1894020136877765,4.009523520008697,6.084139298946484e-05,0.01936499056197587,Nup35
Me3,1305.750909831546,6.076791125786595,1.5171950611792056,4.005280060075826,6.194404658033314e-05,0.01936499056197587,Me3
Usp54,75.05573881851572,-10.173088269465023,2.5481177766636325,-3.992393272647355,6.540977511628969e-05,0.019766834040142744,Usp54
Gmnn,41.94308688048315,-8.561704938442706,2.1549792094163385,-3.9729872571539033,7.097684763434903e-05,0.02010862814540651,Gmnn
Rhbdd2,516.0838981577165,10.242970402385014,2.5772703747979286,3.9743484046326016,7.057219443180532e-05,0.02010862814540651,Rhbdd2
Hmbs,752.3829620863904,10.788104035121693,2.734052119581575,3.945829692805098,7.952412489453356e-05,0.02184744594829822,Hmbs
Mbnl3,102.93885759625914,-11.700516874234923,2.971519559895251,-3.93755337577094,8.231662532518725e-05,0.021949486035239635,Mbnl3
Mknk1,300.5901450865085,8.51897464394825,2.1791629584648016,3.9092875596370185,9.256872047840976e-05,0.02268183837452062,Mknk1
Gatsl3,461.69423278378156,10.08228910224899,2.5744012937348817,3.916362661402271,8.989498800194674e-05,0.02268183837452062,Gatsl3
Golga1,281.9914313183987,9.369089435283355,2.393678787680168,3.9140963622622893,9.074339406818478e-05,0.02268183837452062,Golga1
Gpn3,449.2240200263342,7.529919038047046,1.9323912023361376,3.8966845993419215,9.751848341279487e-05,0.022716817863961146,Gpn3
Txlna,492.14137545329265,3.84128684585918,0.9859117447459097,3.896177184550287,9.77229094081717e-05,0.022716817863961146,Txlna
Hnrnph3,428.49983290378134,3.448490525554224,0.8937085057600873,3.8586300827710356,0.00011402437211339583,0.025843623939501167,Hnrnph3
Rbm41,60.32698472476627,-9.85573057059401,2.5732316007843172,-3.8300985296426484,0.00012809195939134308,0.028323943996144303,Rbm41
Bnip1,467.3802247334106,11.515849796802929,3.0178927956376973,3.8158578109364445,0.00013571064071360588,0.029294111159751213,Bnip1
Pom121,435.30021342430547,6.749953186805269,1.7803146843108189,3.791438247569281,0.00014977739192173012,0.030171138372558755,Pom121
Gm4841,90.06816020699965,-11.146356438876849,2.9482570149986356,-3.78065968542502,0.00015641335798701318,0.030171138372558755,Gm4841
