cell_type,symbol,log2FoldChange,padj
B cell,Lap3,9.389871126528138,3.144379907244399e-05
B cell,Manbal,10.736306562216146,0.0011032465324332455
B cell,D19Wsu162e,10.178392334772946,0.0011032465324332455
B cell,Xist,-13.48325410948013,0.005040592147377525
B cell,Ranbp2,6.984710912762505,0.018563989367491675
B cell,Ddx3y,10.614688284313583,0.018563989367491675
B cell,Cog5,-8.44919925559548,0.018563989367491675
B cell,Mgmt,12.749114544927304,0.018563989367491675
B cell,Wasl,10.018360344782865,0.018563989367491675
B cell,Fdft1,8.369825655619065,0.018563989367491675
B cell,Fam98c,11.663269919672297,0.018563989367491675
B cell,Pop4,8.063134681666115,0.018832964342470303
B cell,3000002C10Rik,-13.409467445354096,0.018832964342470303
B cell,Cox6a2,-15.380181834929454,0.018832964342470303
B cell,Vill,-11.715239460449695,0.01933037981468536
B cell,Alkbh7,10.648585489805846,0.02045462852160487
B cell,Tsix,-11.783596140375824,0.02100876413852732
B cell,Sec24b,7.374548806705572,0.02100876413852732
B cell,Fyb,-9.957207193778585,0.021795004502047167
B cell,Dcaf15,11.658245512273858,0.022737433985303212
adventitial cell,H2-Q6,12.194121878577986,5.899748656434429e-17
adventitial cell,D2hgdh,-9.450313377499851,4.81294890431231e-08
adventitial cell,Lamb1,-2.2031849696647035,8.451790054783555e-08
adventitial cell,Rhoc,2.2342474342554506,2.640587571437834e-07
adventitial cell,Arhgdia,1.2720483178207114,8.954862378553232e-07
adventitial cell,Dbc1,-9.376369956860195,9.077725779586033e-07
adventitial cell,Ptma,1.9431662177267766,1.694677887857598e-06
adventitial cell,Sf3b4,1.76413574742472,2.151739728323478e-06
adventitial cell,Hoxb6,3.4519476866831655,3.6084765743939065e-06
adventitial cell,Tm7sf3,-1.758627376889687,5.001628323154731e-06
adventitial cell,Ano6,-1.875887923261936,5.39771767682451e-06
adventitial cell,Tmsb10,2.5422337157697066,5.827278933335198e-06
adventitial cell,Ptms,2.086488129713294,7.0593714803515055e-06
adventitial cell,Cfl1,2.2445317769152875,7.0593714803515055e-06
adventitial cell,Lepr,-2.708769886893606,1.2908044678243322e-05
adventitial cell,Nr1d2,-6.5587039066757375,1.2908044678243322e-05
adventitial cell,Dlgap4,1.4503751131709925,1.2908044678243322e-05
adventitial cell,Snrpc,3.272270826138838,1.2908044678243322e-05
adventitial cell,Pcdhb20,-7.553967213376613,1.2908044678243322e-05
adventitial cell,Surf2,2.3864451822812494,1.2908044678243322e-05
bronchial smooth muscle cell,Car7,8.646351734593562,5.600948835683626e-13
bronchial smooth muscle cell,Mboat2,-5.804413843360977,3.121205025229491e-12
bronchial smooth muscle cell,Tmem45a,7.4709892377808345,1.4194270835532938e-10
bronchial smooth muscle cell,Ezh2,4.839998654157447,1.7866101068086865e-09
bronchial smooth muscle cell,Ins1,-9.801729489204217,2.1991559208409103e-09
